DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
10509.0,27.186707,77.484739,R,RAJASTHAN,Bharatpur
10510.0,26.995823,77.655895,R,RAJASTHAN,Bharatpur
10511.0,27.753362,77.273993,R,RAJASTHAN,Bharatpur
10512.0,27.347055,77.363316,R,RAJASTHAN,Bharatpur
10513.0,27.249752,77.459861,R,RAJASTHAN,Bharatpur
10514.0,27.667629,77.111305,R,RAJASTHAN,Bharatpur
10515.0,27.216503,77.372513,R,RAJASTHAN,Bharatpur
10516.0,27.215419,77.49775,U,RAJASTHAN,Bharatpur
10517.0,27.430598,77.379157,R,RAJASTHAN,Bharatpur
10518.0,27.051162,77.189354,R,RAJASTHAN,Bharatpur
10519.0,27.094622,77.282468,R,RAJASTHAN,Bharatpur
10520.0,27.21469,77.281813,R,RAJASTHAN,Bharatpur
10521.0,27.202228,77.486053,U,RAJASTHAN,Bharatpur
10522.0,26.973024,77.338957,R,RAJASTHAN,Bharatpur
10523.0,27.017939,77.021868,R,RAJASTHAN,Bharatpur
10524.0,27.263294,77.487998,R,RAJASTHAN,Bharatpur
10525.0,27.323825,77.211365,R,RAJASTHAN,Bharatpur
10526.0,27.21411,77.499133,U,RAJASTHAN,Bharatpur
10527.0,27.192942,77.577157,R,RAJASTHAN,Bharatpur
10528.0,27.038402,77.054541,U,RAJASTHAN,Bharatpur
10529.0,27.40638,77.181933,R,RAJASTHAN,Bharatpur
10530.0,27.625713,77.166598,R,RAJASTHAN,Bharatpur
10531.0,27.737857,77.202967,R,RAJASTHAN,Bharatpur
10532.0,27.765381,77.154037,R,RAJASTHAN,Bharatpur
10533.0,27.253634,77.249093,R,RAJASTHAN,Bharatpur
10534.0,27.486802,77.096866,R,RAJASTHAN,Bharatpur
10535.0,27.41028,77.326391,R,RAJASTHAN,Bharatpur
10536.0,27.216596,77.489441,U,RAJASTHAN,Bharatpur
10537.0,27.650917,77.268541,U,RAJASTHAN,Bharatpur
10538.0,26.914106,77.288755,U,RAJASTHAN,Bharatpur
10539.0,27.774405,77.07237,R,RAJASTHAN,Bharatpur
10540.0,26.901749,77.158347,R,RAJASTHAN,Bharatpur
10541.0,27.558368,77.055567,R,RAJASTHAN,Bharatpur
