dhs_district_hist_norm,DHSREGNA,gp_lgd_code_best,target_gp_name,target_gp_norm,district_lgd,subdistrict_lgd,n_clusters_affected,sample_clusters,sample_villages,candidate_rank,candidate_found,similarity_score,res_gp_display,res_gp_norm,res_samiti_display,candidate_reservation_dose,candidate_reservation_dose_n,candidate_reserved_women_2005,candidate_reserved_women_2010,candidate_reservation_2005,candidate_reservation_2010,target_subdistrict_norm,candidate_samiti_norm,samiti_exact_match,samiti_similarity,samiti_close_match,high_gp_fuzzy_match,fuzzy_samiti_match_category
pali,Pali,41060,Dhakri,dhakri,Pali,Sojat,1,291082,Bagawas,1,True,0.9230769230769231,dhakari,dhakari,SOJAT,twice,2,1,1,GEN W,GENW,sojat,sojat,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,41087,Surayta,surayta,Pali,Sojat,1,291717,Kanawas,1,True,0.9333333333333333,surayata,surayata,SOJAT,once,1,0,1,SC,GENW,sojat,sojat,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pali,Pali,41102,Gogara,gogara,Pali,Sumerpur,1,291283,Gogra,1,True,0.9090909090909091,gogra,gogra,SUMERPUR,never,0,0,0,OBC,GEN,sumerpur,sumerpur,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pratapgarh,Pratapgarh,36410,Kotri,kotri,Pratapgarh,Arnod,1,290767,Kotri,1,True,0.9090909090909091,kotari,kotari,ARNOD,once,1,0,1,ST,STW,arnod,arnod,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pratapgarh,Pratapgarh,36755,Rathajana,rathajana,Pratapgarh,Pratapgarh,1,291708,Rathajana,1,True,0.9473684210526315,rathanjana,rathanjana,PRATAPGARH,twice,2,1,1,ST W,STW,pratapgarh,pratapgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pratapgarh,Pratapgarh,36757,Sidh Pura,sidhpura,Pratapgarh,Pratapgarh,1,291143,Sidhpura,1,True,0.9411764705882353,siddhpura,siddhpura,PRATAPGARH,never,0,0,0,ST,ST,pratapgarh,pratapgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
pratapgarh,Pratapgarh,42323,Devla,devla,Pratapgarh,Dhariawad,2,290236 | 291032,Deola,1,True,0.9090909090909091,devala,devala,DHARIAWAD,once,1,0,1,ST,STW,dhariawad,dhariawad,True,1.0,True,True,high_confidence_gp_and_exact_samiti
rajsamand,Rajsamand,41134,Sakarda,sakarda,Rajsamand,Amet,1,290028,Sakarda,1,True,0.9333333333333333,sakarada,sakarada,AMET,once,1,1,0,OBC W,GEN,amet,amet,True,1.0,True,True,high_confidence_gp_and_exact_samiti
rajsamand,Rajsamand,41149,Kachhbali,kachhbali,Rajsamand,Bhim,1,290213,Payari,1,True,0.9473684210526315,kachhabali,kachhabali,BHIM,once,1,0,1,GEN,GENW,bhim,bhim,True,1.0,True,True,high_confidence_gp_and_exact_samiti
rajsamand,Rajsamand,41183,Swadari(A),swadaria,Rajsamand,Deogarh,2,291118 | 291731,Beer Deogarh | Swadari  (B),1,True,0.9333333333333333,swadari,swadari,DEOGARH,never,0,0,0,GEN,ST,deogarh,deogarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
rajsamand,Rajsamand,41281,Mehanduriya,mehanduriya,Rajsamand,Railmagra,1,290641,Mahenduriya,1,True,0.9090909090909091,mehinduriya,mehinduriya,RAILMAGRA,once,1,1,0,GEN W,GEN,railmagra,railmagra,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sawaimadhopur,Sawai Madhopur,41370,Galad Kalan,galadkalan,Sawai Madhopur,Bonli,1,290961,Galad Khurd,1,True,0.9473684210526315,galadkala,galadkala,BONLI,once,1,0,1,ST,GENW,bonli,bonli,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sikar,Sikar,41551,Mandha (Surera),mandhasurera,Sikar,Danta Ramgarh,1,291517,Mandha  (Surera),1,True,0.9565217391304348,mandh (surera),mandhsurera,DANTA RAMGARH,once,1,0,1,GEN,GENW,dantaramgarh,dantaramgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sirohi,Sirohi,41892,Nandiya,nandiya,Sirohi,Pindwara,1,290413,Nandiya,1,True,0.9230769230769231,nadiya,nadiya,PINDWARA,once,1,0,1,SC,STW,pindwara,pindwara,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sirohi,Sirohi,41963,Posaliyan,posaliyan,Sirohi,Sheoganj,1,291027,Posaliya,1,True,0.9411764705882353,posaliya,posaliya,SHEOGANJ,once,1,0,1,ST,SCW,sheoganj,sheoganj,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sirohi,Sirohi,41978,Jaila,jaila,Sirohi,Sirohi,1,290507,Nimbora,1,True,1.0,jaila,jaila,SIROHI,once,1,0,1,GEN,SCW,sirohi,sirohi,True,1.0,True,True,high_confidence_gp_and_exact_samiti
sirohi,Sirohi,41995,Tawari,tawari,Sirohi,Sirohi,1,291637,Tawari,1,True,0.9230769230769231,tanwari,tanwari,SIROHI,never,0,0,0,OBC,GEN,sirohi,sirohi,True,1.0,True,True,high_confidence_gp_and_exact_samiti
tonk,Tonk,42005,Chandali,chandali,Tonk,Deoli,1,291669,Chandli,1,True,0.9333333333333333,chandli,chandli,DEOLI,twice,2,1,1,GEN W,STW,deoli,deoli,True,1.0,True,True,high_confidence_gp_and_exact_samiti
tonk,Tonk,42034,Sanwatgarh,sanwatgarh,Tonk,Deoli,1,291523,Sanwatgarh,1,True,0.9,sawantgarh,sawantgarh,DEOLI,never,0,0,0,GEN,SC,deoli,deoli,True,1.0,True,True,high_confidence_gp_and_exact_samiti
tonk,Tonk,42053,Jhadali,jhadali,Tonk,Malpura,1,291200,Jharli,1,True,0.9230769230769231,jhadli,jhadli,MALPURA,never,0,0,0,GEN,OBC,malpura,malpura,True,1.0,True,True,high_confidence_gp_and_exact_samiti
tonk,Tonk,42069,Sindoliya,sindoliya,Tonk,Malpura,1,290135,Sindoliya,1,True,0.9473684210526315,sindholiya,sindholiya,MALPURA,twice,2,1,1,GEN W,GENW,malpura,malpura,True,1.0,True,True,high_confidence_gp_and_exact_samiti
tonk,Tonk,42121,Bhansu,bhansu,Kekri,Todaraisingh,1,290077,Bhasoo,1,True,0.9090909090909091,bhasu,bhasu,TODARAISINGH,once,1,0,1,OBC,GENW,todaraisingh,todaraisingh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
udaipur,Udaipur,42267,Bhopa Kheda,bhopakheda,Udaipur,Bhinder,1,291692,Beripura,1,True,0.9,bhopa khera,bhopakhera,BHINDAR,once,1,1,0,OBC W,GEN,bhinder,bhindar,False,0.8571428571428571,True,True,high_confidence_gp_and_close_samiti
