DHSCLUST,total_villages,villages_with_gp,gp_coverage_rate
291491.0,10,10,1.0
291492.0,16,16,1.0
291493.0,24,24,1.0
291496.0,29,29,1.0
291498.0,24,24,1.0
291499.0,14,14,1.0
291505.0,13,13,1.0
291508.0,20,20,1.0
291510.0,26,26,1.0
291512.0,18,18,1.0
291513.0,16,16,1.0
291514.0,21,21,1.0
291515.0,42,42,1.0
291516.0,12,12,1.0
291517.0,21,21,1.0
291518.0,27,27,1.0
291520.0,12,12,1.0
291521.0,32,32,1.0
291522.0,46,46,1.0
291523.0,12,12,1.0
291525.0,20,20,1.0
291528.0,18,18,1.0
291529.0,13,13,1.0
291530.0,10,10,1.0
291532.0,12,12,1.0
291533.0,18,18,1.0
291534.0,42,42,1.0
291538.0,6,6,1.0
291541.0,13,13,1.0
291542.0,18,18,1.0
291543.0,15,15,1.0
291544.0,10,10,1.0
291545.0,26,26,1.0
291546.0,21,21,1.0
291547.0,5,5,1.0
291549.0,17,17,1.0
291550.0,28,28,1.0
291551.0,26,26,1.0
291552.0,37,37,1.0
291554.0,11,11,1.0
291555.0,22,22,1.0
291558.0,11,11,1.0
291559.0,13,13,1.0
291560.0,25,25,1.0
291561.0,8,8,1.0
291562.0,12,12,1.0
291564.0,18,18,1.0
291565.0,23,23,1.0
